                      %P                     obs                       s                guesserr                   error     directory
                  0.0099               5.7735343                       0                       0           1.4975498e-12  ./initial-2/
                    0.01                5.800929                       0                       0           1.4455423e-12  ./initial-1/
                  0.0101               5.8285897                       0                       0           1.4196062e-12  ./initial-0/
             0.011099964               6.1198135              0.11000037           1.8218765e-09            2.972294e-14   search-0/
             0.012099928               6.4376355              0.21000037           5.6638343e-09            5.277037e-14   search-1/
             0.013099894               6.7820596              0.31000038           7.4175337e-09           5.4912645e-14   search-2/
             0.014099861               7.1530895              0.41000038           6.8236946e-09           4.9546424e-14   search-3/
             0.015099829               7.5507286              0.51000038           6.2696293e-09           5.5885563e-14   search-4/
             0.016099797               7.9749799              0.61000038           5.7763492e-09           2.5277419e-14   search-5/
             0.017099767               8.4258463              0.71000038           5.3355601e-09           1.9548465e-14   search-6/
             0.018099737               8.9033304              0.81000038           4.9402707e-09           1.4978872e-14   search-7/
             0.019099708               9.4074347              0.91000038            4.584638e-09           3.2118104e-14   search-8/
              0.02009968               9.9381613               1.0100004           4.2636848e-09            1.284262e-14   search-9/
             0.021099652               10.495513               1.1100004           3.9731945e-09           8.2675982e-15   search-10/
             0.022099625                11.07949               1.2100004           3.7095377e-09           5.0941788e-15   search-11/
             0.023099599               11.690096               1.3100004           3.4696152e-09           2.2519362e-14   search-12/
             0.024099573               12.327333               1.4100004           3.2507546e-09           2.9201435e-15   search-13/
             0.025099547                 12.9912               1.5100004           3.0506282e-09           2.0330657e-15   search-14/
             0.026099522               13.681702               1.6100004           2.8672256e-09           1.3355972e-15   search-15/
             0.027099498               14.398837               1.7100004            2.698802e-09           1.1025965e-15   search-16/
             0.028099474               15.142609               1.8100004           2.5438024e-09           8.6265685e-16   search-17/
             0.029099451               15.913018               1.9100004           2.4008984e-09           2.6231889e-14   search-18/
             0.030099428               16.710066               2.0100004           2.2688851e-09           3.1053275e-14   search-19/
             0.031099405               17.533753               2.1100004           2.1467314e-09           2.7847852e-14   search-20/
             0.032099383               18.384081               2.2100004           2.0335001e-09           7.7624518e-15   search-21/
             0.033099361               19.261051               2.3100004           1.9283723e-09             4.47954e-16   search-22/
             0.034099339               20.164663               2.4100004           1.8306157e-09            4.992128e-16   search-23/
             0.035099318               21.094919               2.5100004           1.7395768e-09           6.8720346e-16   search-24/
             0.036099297               22.051819               2.6100004            1.654671e-09            8.175383e-14   search-25/
             0.037099277               23.035365               2.7100004            1.575378e-09           7.1518479e-16   search-26/
             0.038099256               24.045557               2.8100004           1.5012248e-09           7.4707682e-16   search-27/
             0.039099236               25.082396               2.9100004           1.4317916e-09           9.6976409e-14   search-28/
             0.040099217               26.145882               3.0100004           1.3666961e-09           8.1170091e-16   search-29/
             0.041099197               27.236016               3.1100004           1.3055916e-09            1.279737e-13   search-30/
             0.042099178                 28.3528               3.2100004           1.2481767e-09           7.5868405e-14   search-31/
             0.043099159               29.496233               3.3100004           1.1941542e-09           9.4044844e-14   search-32/
             0.044099141               30.666316               3.4100004           1.1432773e-09           9.7549984e-14   search-33/
             0.045099122                31.86305               3.5100004           1.0953168e-09           1.0167034e-13   search-34/
             0.046099104               33.086435               3.6100004           1.0500475e-09           1.0557283e-13   search-35/
             0.047099086               34.336472               3.7100004           1.0072866e-09           1.4752987e-14   search-36/
             0.048099068               35.613161               3.8100004             9.66852e-10           1.4144587e-14   search-37/
             0.049099051               36.916503               3.9100004           9.2857897e-10           6.2370366e-14   search-38/
             0.050099033               38.246499               4.0100004           8.9232989e-10           4.3981082e-14   search-39/
             0.051099016               39.603148               4.1100004           8.5795678e-10           7.1759547e-16   search-40/
             0.052098999               40.986451               4.2100004           8.2534214e-10           1.3329335e-13   search-41/
             0.053098982               42.396408               4.3100004           7.9436458e-10           2.0443939e-13   search-42/
             0.054098965               43.833021               4.4100004           7.6492681e-10           6.8991841e-14   search-43/
             0.055098949               45.296289               4.5100004           7.3691147e-10           6.5484572e-16   search-44/
             0.056098933               46.786212               4.6100004           7.1026245e-10           1.5568648e-13   search-45/
             0.057098916               48.302792               4.7100004           6.8485616e-10           7.8542804e-14   search-46/
               0.0580989               49.846027               4.8100004           6.6065675e-10           6.3791992e-16   search-47/
             0.059098884                51.41592               4.9100004           6.3755153e-10           1.7705762e-13   search-48/
             0.060098869                53.01247               5.0100004           6.1550624e-10           1.8457063e-13   search-49/
             0.061098853               54.635676               5.1100004           5.9444283e-10           2.4341978e-15   search-50/
             0.062098838               56.285541               5.2100004           5.7429812e-10           1.0227758e-13   search-51/
             0.063098822               57.962063               5.3100004           5.5505597e-10           2.9870377e-13   search-52/
             0.064098807               59.665244               5.4100004            5.366245e-10           2.1785739e-13   search-53/
             0.065098792               61.395083               5.5100004            5.189703e-10           3.3770301e-13   search-54/
             0.066098777                63.15158               5.6100004           5.0206225e-10           2.3687819e-13   search-55/
             0.067098762               64.934737               5.7100004            4.858381e-10           1.2147502e-13   search-56/
             0.068098748               66.744552               5.8100004           4.7032027e-10           1.3613647e-14   search-57/
             0.069098733               68.581027               5.9100004           4.5531519e-10           1.4121157e-13   search-58/
             0.070098718               70.444162               6.0100004           4.4107183e-10           1.3067871e-13   search-59/
